Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
649.759, 11809639, 
629.764, 11809639, 
629.497, 11809639, 


Size: o200.txt, 
Tempo(ms), Swaps, 
0.0099, 789, 
0.0093, 789, 
0.0093, 789, 
0.0093, 789, 
0.0093, 789, 
0.0093, 789, 
0.0092, 789, 
0.0093, 789, 
0.0092, 789, 
0.0092, 789, 
0.0158, 789, 
0.0093, 789, 
0.0091, 789, 
0.0093, 789, 
0.0093, 789, 
0.0093, 789, 
0.0092, 789, 
0.0092, 789, 
0.0092, 789, 
0.0094, 789, 
0.0092, 789, 
0.0093, 789, 
0.0094, 789, 
0.0093, 789, 
0.0092, 789, 
0.0092, 789, 
0.0091, 789, 
0.0092, 789, 
0.0093, 789, 
0.0092, 789, 
0.0092, 789, 
0.0093, 789, 


Size: o2000.txt, 
Tempo(ms), Swaps, 
0.1399, 11342, 
0.1301, 11342, 
0.1295, 11342, 
0.1353, 11342, 
0.1713, 11342, 
0.1294, 11342, 
0.1356, 11342, 
0.1287, 11342, 
0.1291, 11342, 
0.1348, 11342, 
0.1284, 11342, 
0.1285, 11342, 
0.1338, 11342, 
0.1288, 11342, 
0.129, 11342, 
0.1405, 11342, 
0.1354, 11342, 
0.1285, 11342, 
0.1284, 11342, 
0.1336, 11342, 
0.135, 11342, 
0.1275, 11342, 
0.1276, 11342, 
0.1327, 11342, 
0.1277, 11342, 
0.127, 11342, 
0.1327, 11342, 
0.1338, 11342, 
0.1272, 11342, 
0.1274, 11342, 
0.1326, 11342, 
0.1335, 11342, 


Size: o200000.txt, 
Tempo(ms), Swaps, 
27.5769, 1558781, 
27.0742, 1558781, 
27.039, 1558781, 
27.159, 1558781, 
27.0416, 1558781, 
27.0521, 1558781, 
27.1494, 1558781, 
27.1516, 1558781, 
27.1541, 1558781, 
27.049, 1558781, 
27.0604, 1558781, 
27.0867, 1558781, 
27.0139, 1558781, 
27.0351, 1558781, 
27.1225, 1558781, 
27.0554, 1558781, 
27.046, 1558781, 
27.0569, 1558781, 
27.126, 1558781, 
27.0924, 1558781, 
27.0729, 1558781, 
27.1321, 1558781, 
27.0518, 1558781, 
27.0768, 1558781, 
27.0629, 1558781, 
27.0886, 1558781, 
27.0717, 1558781, 
27.042, 1558781, 
31.9253, 1558781, 
27.0382, 1558781, 
27.2682, 1558781, 
27.057, 1558781, 


Size: o2000000.txt, 
Tempo(ms), Swaps, 
1096.68, 15741312, 
1057.28, 15741312, 
1078.24, 15741312, 
1056.79, 15741312, 
1061.9, 15741312, 
1111.13, 15741312, 
1059.88, 15741312, 
1103.93, 15741312, 
1057.35, 15741312, 
1064.88, 15741312, 
1056.73, 15741312, 
1058.82, 15741312, 
1114.27, 15741312, 
1057.07, 15741312, 
1058.02, 15741312, 
1066.27, 15741312, 
1056.46, 15741312, 
1056.46, 15741312, 
1059.12, 15741312, 
1057.52, 15741312, 
1092.85, 15741312, 
1060.81, 15741312, 
1064.14, 15741312, 
1103.18, 15741312, 
1074.14, 15741312, 
1106.52, 15741312, 
1056.97, 15741312, 
1057.26, 15741312, 
1057.27, 15741312, 
1055.58, 15741312, 
1081.11, 15741312, 
1155.41, 15741312, 


Size: o30000.txt, 
Tempo(ms), Swaps, 
3.1443, 222641, 
3.0753, 222641, 
3.1209, 222641, 
3.13, 222641, 
3.0649, 222641, 
3.1217, 222641, 
3.1243, 222641, 
3.1741, 222641, 
3.0579, 222641, 
3.045, 222641, 
3.0665, 222641, 
3.0063, 222641, 
3.0751, 222641, 
2.851, 222641, 
2.7652, 222641, 
2.7813, 222641, 
2.8284, 222641, 
2.7615, 222641, 
2.7531, 222641, 
2.7495, 222641, 
2.7806, 222641, 
2.7662, 222641, 
2.7959, 222641, 
2.8485, 222641, 
2.7876, 222641, 
2.7522, 222641, 
2.7556, 222641, 
2.7556, 222641, 
2.761, 222641, 
2.7576, 222641, 
2.749, 222641, 
2.7978, 222641, 


Size: o500.txt, 
Tempo(ms), Swaps, 
0.0263, 2243, 
0.0326, 2243, 
0.0249, 2243, 
0.025, 2243, 
0.0315, 2243, 
0.0251, 2243, 
0.0252, 2243, 
0.0317, 2243, 
0.025, 2243, 
0.0251, 2243, 
0.0251, 2243, 
0.0252, 2243, 
0.025, 2243, 
0.025, 2243, 
0.0251, 2243, 
0.0252, 2243, 
0.0249, 2243, 
0.0251, 2243, 
0.025, 2243, 
0.0252, 2243, 
0.0251, 2243, 
0.0252, 2243, 
0.0252, 2243, 
0.025, 2243, 
0.0251, 2243, 
0.025, 2243, 
0.0251, 2243, 
0.025, 2243, 
0.0252, 2243, 
0.0251, 2243, 
0.025, 2243, 
0.0252, 2243, 


Size: o5000.txt, 
Tempo(ms), Swaps, 
0.3962, 31959, 
0.3912, 31959, 
0.3895, 31959, 
0.3949, 31959, 
0.3891, 31959, 
0.3888, 31959, 
0.3937, 31959, 
0.3894, 31959, 
0.3897, 31959, 
0.389, 31959, 
0.3961, 31959, 
0.3934, 31959, 
0.3885, 31959, 
0.3892, 31959, 
0.3932, 31959, 
0.3896, 31959, 
0.3889, 31959, 
0.3893, 31959, 
0.39, 31959, 
0.3905, 31959, 
0.391, 31959, 
0.3904, 31959, 
0.4082, 31959, 
0.3912, 31959, 
0.3919, 31959, 
0.3973, 31959, 
0.389, 31959, 
0.3896, 31959, 
0.395, 31959, 
0.3883, 31959, 
0.3893, 31959, 
0.3938, 31959, 


Size: o50000.txt, 
Tempo(ms), Swaps, 
4.8587, 379603, 
4.8457, 379603, 
4.8694, 379603, 
4.8578, 379603, 
4.8589, 379603, 
4.8479, 379603, 
4.8461, 379603, 
4.8691, 379603, 
4.844, 379603, 
4.8451, 379603, 
4.9423, 379603, 
4.8582, 379603, 
4.846, 379603, 
4.8632, 379603, 
4.8499, 379603, 
4.8708, 379603, 
4.8437, 379603, 
4.8732, 379603, 
4.874, 379603, 
4.8515, 379603, 
4.8941, 379603, 
4.8564, 379603, 
4.8526, 379603, 
4.8865, 379603, 
4.8487, 379603, 
4.8795, 379603, 
4.8778, 379603, 
4.864, 379603, 
4.8919, 379603, 
4.8779, 379603, 
4.8598, 379603, 
4.8466, 379603, 


Size: o500000.txt, 
Tempo(ms), Swaps, 
