Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
6.5805, 475203, 
6.5788, 475203, 
6.5809, 475203, 
6.6137, 475203, 
6.5848, 475203, 
6.599, 475203, 
6.5827, 475203, 
6.5699, 475203, 
6.5828, 475203, 
6.5884, 475203, 
6.5979, 475203, 
6.5805, 475203, 
6.6005, 475203, 
6.6658, 475203, 
6.6684, 475203, 
6.599, 475203, 
6.5784, 475203, 
6.5887, 475203, 
6.5803, 475203, 


Size: o500000.txt, 
Tempo(ms), Swaps, 
121.247, 3746964, 
121.557, 3746964, 
122.19, 3746679, 
122.064, 3746679, 
122.357, 3746679, 
122.025, 3746679, 
122.234, 3746679, 
122.091, 3746679, 
121.181, 3906762, 
121.355, 3906762, 
121.95, 3906762, 
