Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.3075, 16322, 
0.2998, 14777, 
0.2928, 13198, 
0.2901, 15004, 
0.3021, 14688, 
0.2933, 14632, 
0.3074, 14441, 
0.2863, 13094, 
0.2984, 15079, 


Size: d200000.txt, 
Tempo(ms), Swaps, 
53.0912, 2689686, 
52.7337, 2644539, 
52.6457, 2656395, 
53.9316, 2796197, 
53.6193, 2779251, 
52.2828, 2666039, 
54.7531, 2940794, 
52.5704, 2666420, 
51.7338, 2580056, 
53.5067, 2784274, 


Size: d2000000.txt, 
Tempo(ms), Swaps, 
2122.02, 128768471, 
2194.81, 136642036, 
2142.54, 130349414, 
2189.11, 137688799, 
2106.8, 127691491, 
2132.48, 130710819, 
2009.7, 117264998, 
2185.88, 135283220, 
2147.5, 133897685, 
2086.05, 126621055, 


Size: d30000.txt, 
Tempo(ms), Swaps, 
5.4844, 266870, 
5.7227, 299473, 
5.5346, 268246, 
5.689, 294441, 
5.8896, 310643, 
5.5703, 278325, 
5.5953, 283102, 
6.5461, 261728, 
5.9501, 269750, 
5.5731, 265622, 


Size: d500.txt, 
Tempo(ms), Swaps, 
0.068, 3349, 
0.0819, 3857, 
0.068, 3294, 
0.0745, 2932, 
0.0706, 2922, 
0.0727, 2932, 
0.0666, 3209, 
0.0703, 2703, 
0.0683, 3365, 
0.0748, 3293, 


Size: d5000.txt, 
Tempo(ms), Swaps, 
0.7749, 39610, 
0.7797, 39949, 
0.8086, 43820, 
0.8168, 43236, 
0.7703, 36525, 
0.7894, 40080, 
0.8426, 48582, 
0.7913, 42544, 
0.7596, 37518, 
0.7648, 37645, 


Size: d50000.txt, 
Tempo(ms), Swaps, 
10.137, 486656, 
9.9556, 469338, 
10.0254, 493123, 
9.7516, 465984, 
10.0291, 505532, 
9.7839, 472810, 
10.2392, 500337, 
10.4974, 493036, 
10.3863, 504220, 
10.5044, 496571, 


Size: d500000.txt, 
Tempo(ms), Swaps, 
208.487, 12015117, 
191.893, 10402099, 
203.459, 11860015, 
187.803, 9848372, 
203.44, 10830091, 
203.443, 11834050, 
199.308, 11084532, 
207.581, 11606746, 
208.481, 11011464, 
185.023, 9248524, 


Size: d7500.txt, 
Tempo(ms), Swaps, 
1.2397, 66793, 
1.1976, 62240, 
1.2704, 72354, 
1.2346, 65240, 
1.2433, 69126, 
1.2488, 67538, 
1.2745, 66138, 
1.1897, 62389, 
1.2324, 65745, 
1.1681, 59003, 


Size: d75000.txt, 
Tempo(ms), Swaps, 
15.8186, 737607, 
16.3415, 758897, 
16.0661, 792041, 
15.4383, 724995, 
16.9772, 779726, 
16.4793, 846676, 
15.8094, 777488, 
15.5945, 744474, 
15.8397, 772113, 
15.5499, 748202, 


Size: d750000.txt, 
Tempo(ms), Swaps, 
371.755, 20804785, 
374.082, 21149238, 
378.817, 21507123, 
368.824, 20452335, 
359.795, 19548061, 
372.913, 21163977, 
371.646, 20867072, 
383.388, 22586274, 
375.459, 21425599, 
356.713, 19069790, 


Dataset: ParcialmenteOrdenados, 
Size: po100.txt, 
Tempo(ms), Swaps, 
0.0135, 428, 
0.013, 416, 
0.0129, 436, 
0.0141, 507, 
0.0129, 429, 
0.013, 445, 
0.0127, 406, 
0.0126, 400, 
0.013, 507, 
0.0125, 357, 


Size: po1000.txt, 
Tempo(ms), Swaps, 
0.1454, 6857, 
0.1453, 6791, 
0.1411, 6297, 
0.1416, 6379, 
0.1395, 6072, 
0.1376, 6559, 
0.1351, 6214, 
0.1422, 7136, 
0.1363, 6503, 
0.1322, 5874, 


Size: po10000.txt, 
Tempo(ms), Swaps, 
1.5808, 80429, 
1.5806, 81133, 
1.5361, 76909, 
1.5677, 81929, 
1.5149, 73130, 
1.5632, 80504, 
1.5466, 77835, 
1.5777, 78678, 
1.5842, 81155, 
1.5765, 78577, 


Size: po100000.txt, 
Tempo(ms), Swaps, 
20.0561, 799117, 
20.0616, 816884, 
19.99, 808669, 
20.1763, 808266, 
20.0225, 806589, 
20.1961, 782401, 
20.1564, 826235, 
20.4669, 833850, 
20.1188, 812385, 
20.213, 835795, 


Size: po1000000.txt, 
Tempo(ms), Swaps, 
433.213, 6424790, 
435.035, 6358117, 
441.191, 6403815, 
441.557, 6485472, 
445.594, 6303942, 
439.298, 6439355, 
448.503, 6381656, 
443.239, 6447790, 
458.558, 6413944, 
437.686, 6402283, 


Size: po1250000.txt, 
Tempo(ms), Swaps, 
659.529, 7771786, 
658.857, 7788317, 
658.687, 7834561, 
648.003, 7748652, 
660.325, 7737330, 
643.561, 7696231, 
634.814, 7875361, 
648.856, 7773097, 
643.582, 7720938, 
645.837, 7639881, 


Size: po15000.txt, 
Tempo(ms), Swaps, 
2.4677, 129233, 
2.3911, 114987, 
2.3905, 118890, 
2.4175, 122277, 
2.3894, 118277, 
2.5004, 131385, 
2.4827, 125777, 
2.3907, 117884, 
2.4038, 120260, 
2.437, 126542, 


Size: po1500000.txt, 
Tempo(ms), Swaps, 
855.101, 9194795, 
868.198, 9107246, 
872.453, 9023498, 
886.452, 9123230, 
893.042, 9010035, 
876.051, 9047546, 
866.288, 9060445, 
913.75, 8996838, 
873.15, 9015462, 
869.132, 9086551, 


Size: po200.txt, 
Tempo(ms), Swaps, 
0.027, 1054, 
0.0281, 1274, 
0.0259, 972, 
0.0355, 1231, 
0.0264, 1100, 
0.0252, 933, 
0.025, 895, 
0.0304, 955, 
0.0334, 1060, 
0.0255, 923, 


Size: po2000.txt, 
Tempo(ms), Swaps, 
0.2897, 14584, 
0.2828, 13309, 
0.288, 14156, 
0.2957, 14340, 
0.2948, 15042, 
0.2907, 14345, 
0.2827, 12668, 
0.3014, 16072, 
0.3331, 14347, 
0.2973, 15317, 


Size: po200000.txt, 
Tempo(ms), Swaps, 
45.7596, 1508278, 
45.5279, 1529791, 
44.8484, 1529737, 
44.9844, 1555603, 
45.4442, 1507366, 
46.0194, 1488895, 
45.1762, 1507326, 
45.5467, 1516402, 
44.5664, 1480306, 
45.4631, 1536882, 


Size: po2000000.txt, 
Tempo(ms), Swaps, 
1427.11, 11727149, 
1470.22, 11576293, 
1433.82, 11590715, 
1456.29, 11566719, 
1504.43, 11773051, 
1439.42, 11807453, 
1465.3, 11629422, 
1458.1, 11549564, 
1460.87, 11666829, 
1461.05, 11652423, 


Size: po30000.txt, 
Tempo(ms), Swaps, 
5.403, 278234, 
5.4781, 267418, 
5.3164, 262805, 
5.2893, 257145, 
5.5749, 254909, 
5.2896, 256267, 
5.3303, 233292, 
5.227, 243880, 
5.2713, 225120, 
5.3695, 258249, 


Size: po500.txt, 
Tempo(ms), Swaps, 
0.0661, 2846, 
0.0647, 2707, 
0.0633, 2748, 
0.0681, 3061, 
0.0655, 2877, 
0.0676, 3140, 
0.0661, 2962, 
0.0666, 2877, 
0.0678, 3233, 
0.0665, 3093, 


Size: po5000.txt, 
Tempo(ms), Swaps, 
0.7602, 38522, 
0.7599, 39114, 
0.7499, 38082, 
0.7738, 41209, 
0.743, 36440, 
0.7481, 38077, 
1.8405, 39403, 
1.2855, 37110, 
1.235, 35531, 
0.7491, 38421, 


Size: po50000.txt, 
Tempo(ms), Swaps, 
9.4186, 424714, 
